SAMPLENAME	index	index_type
H64K_8m_20221024_B_1_PB__CD218_sampled_DA_8140_34_S34_L002_R1_001.fastq	4175	unique barcodes
H64K_8m_20221024_CD16p_PB__CD218_sampled_DA_8140_25_S25_L002_R1_001.fastq	2871	unique barcodes
H64K_8m_20221024_CD56p_PB__CD218_sampled_DA_8140_22_S22_L002_R1_001.fastq	5	unique barcodes
H64K_8m_20221024_DN_PB__CD218_sampled_DA_8140_23_S23_L002_R1_001.fastq	363	unique barcodes
H64K_8m_20221024_Gr_PB__CD218_sampled_DA_8140_35_S35_L002_R1_001.fastq	2304	unique barcodes
H64K_8m_20221024_Mono_PB__CD218_sampled_DA_8140_24_S24_L002_R1_001.fastq	2037	unique barcodes
H64K_8m_20221024_NKG2Ap_PB__CD218_sampled_DA_8140_27_S27_L002_R1_001.fastq	941	unique barcodes
H64K_8m_20221024_T_1_PB__CD218_sampled_DA_8140_33_S33_L002_R1_001.fastq	3584	unique barcodes
H64K_9hm_2022125_B_PB__CD219_sampled_new12bp_53_S51_L002_R1_001.fastq	2096	unique barcodes
H64K_9hm_2022125_CD16p_PB__CD219_sampled_new12bp_12_S14_L002_R1_001.fastq	2576	unique barcodes
H64K_9hm_2022125_CD56p_PB__CD219_sampled_new12bp_13_S7_L002_R1_001.fastq	2099	unique barcodes
H64K_9hm_2022125_DN_PB__CD219_sampled_new12bp_14_S15_L002_R1_001.fastq	2842	unique barcodes
H64K_9hm_2022125_Gr_PB__CD219_sampled_new12bp_54_S53_L002_R1_001.fastq	232	unique barcodes
H64K_9hm_2022125_NKG2Ap_PB__CD219_sampled_new12bp_11_S11_L002_R1_001.fastq	1137	unique barcodes
H64K_9hm_2022125_T_PB__CD219_sampled_new12bp_52_S50_L002_R1_001.fastq	1873	unique barcodes
